235	doc	orig	ϣⲁⲣⲡ̄
236	doc	orig	ⲁⲛⲟⲕ
237	doc	orig	ⲡⲉ
238	doc	orig	ⲍⲁⲗⲉϩ
239	doc	orig	ⲉ
240	doc	orig	ⲓ
241	doc	orig	ⲥϩⲁⲓ
242	doc	orig	ⲉ
243	doc	orig	ⲓ
244	doc	orig	ϣⲓⲛⲉ
245	doc	orig	ⲡⲁ
246	doc	orig	ⲙⲉⲣⲓⲧ
247	doc	orig	ⲛ
248	doc	orig	ⲥⲟⲛ̄
249	doc	orig	ⲭⲁⲏⲗ
250	doc	orig	ⲓⲱⲁⲛⲛⲏⲥ
251	doc	orig	ⲙⲛ
252	doc	orig	ⲛ
253	doc	orig	ⲟⲩϫⲁⲓ
254	doc	orig	ⲛⲉϥ
255	doc	orig	ⲣⲱⲙⲉ
256	doc	orig	ⲧⲏⲣ
257	doc	orig	ⲟⲩ
258	doc	orig	ⲡ
259	doc	orig	ⲟⲩⲁ
260	doc	orig	ⲡ
261	doc	orig	ⲟⲩⲁ
262	doc	orig	ⲕⲁⲧⲁ
263	doc	orig	ⲛⲉⲩ
264	doc	orig	ⲣⲁⲛ̄
265	doc	orig	ⲙⲛⲛⲉⲛⲥⲁ
266	doc	orig	ⲛⲁⲓ
267	doc	orig	ⲁⲣⲓ
268	doc	orig	ⲡ
269	doc	orig	ⲛⲟⲩϭ
270	doc	orig	ⲡ
271	doc	orig	ⲉⲧ
272	doc	orig	ⲛⲁⲛⲟⲩ
273	doc	orig	ϥ
274	doc	orig	ϫⲓ
275	doc	orig	νο
276	doc	orig	ⲅ⳿
277	doc	orig	ⲧⲉ
278	doc	orig	ⲥⲓⲙⲱⲛ
279	doc	orig	ⲡ
280	doc	orig	ϣⲉ
281	doc	orig	ⲛ
282	doc	orig	ⲁⲡⲁ
283	doc	orig	ⲓⲟⲩⲗⲉ
284	doc	orig	ⲧⲁⲁ
285	doc	orig	ϥ
286	doc	orig	ϣⲉⲛⲟⲩⲧⲉ
287	doc	orig	ⲡ
288	doc	orig	ⲙⲁ
289	doc	orig	ⲛ
290	doc	orig	ϭⲁⲙⲟⲩⲗ
291	doc	orig	ⲉ
292	doc	orig	ϥ
293	doc	orig	ϭⲱⲡⲉ
294	doc	orig	ⲙⲱ
295	doc	orig	ϥ
296	doc	orig	ⲉⲣⲱ
297	doc	orig	ⲓ
298	doc	orig	ⲟⲩϫⲁⲓ
299	doc	orig	ϩⲙ
300	doc	orig	ⲡ
301	doc	orig	ϫⲟⲉⲓⲥ
302	doc	orig	ⲧⲁⲁ
303	doc	orig	ⲥ
304	doc	orig	ⲡⲁ
305	doc	orig	ⲙⲉⲣⲓⲧ
306	doc	orig	ⲛ
307	doc	orig	ⲥⲟⲛ
308	doc	orig	ⲭⲁⲏⲗ
309	doc	orig	ⲓⲱⲁⲛⲛⲏⲥ
310	doc	orig	ϩⲓⲧⲛ
311	doc	orig	ⲍⲁⲗⲉϩ
312	doc	orig_group	ϩⲙⲡⲣⲁⲛ
313	doc	orig_group	ⲙⲡⲛⲟⲩⲧⲉ
314	doc	orig_group	ⲛϣⲁⲣⲡ̄
315	doc	orig_group	ⲁⲛⲟⲕ
316	doc	orig_group	ⲡⲉ
317	doc	orig_group	ⲍⲁⲗⲉϩ
318	doc	orig_group	ⲉⲓⲥϩⲁⲓ
319	doc	orig_group	ⲉⲓϣⲓⲛⲉ
320	doc	orig_group	ⲡⲁⲙⲉⲣⲓⲧ
321	doc	orig_group	ⲛⲥⲟⲛ̄
322	doc	orig_group	ⲛⲭⲁⲏⲗ
323	doc	orig_group	ⲓⲱⲁⲛⲛⲏⲥ
324	doc	orig_group	ⲙⲛⲛⲟⲩϫⲁⲓ
325	doc	orig_group	ⲛⲉϥⲣⲱⲙⲉ
326	doc	orig_group	ⲧⲏⲣⲟⲩ
327	doc	orig_group	ⲡⲟⲩⲁ
328	doc	orig_group	ⲡⲟⲩⲁ
329	doc	orig_group	ⲕⲁⲧⲁⲛⲉⲩⲣⲁⲛ̄
330	doc	orig_group	ⲙⲛⲛⲉⲛⲥⲁ
331	doc	orig_group	ⲛⲁⲓ
332	doc	orig_group	ⲁⲣⲓ
333	doc	orig_group	ⲡⲛⲟⲩϭ
334	doc	orig_group	ⲡⲉⲧⲛⲁⲛⲟⲩϥ
335	doc	orig_group	ϫⲓ
336	doc	orig_group	νο
337	doc	orig_group	ⲅ⳿
338	doc	orig_group	ⲧⲉ
339	doc	orig_group	ⲥⲓⲙⲱⲛ
340	doc	orig_group	ⲡϣⲉ
341	doc	orig_group	ⲛⲁⲡⲁ
342	doc	orig_group	ⲓⲟⲩⲗⲉ
343	doc	orig_group	ⲧⲁⲁϥ
344	doc	orig_group	ϣⲉⲛⲟⲩⲧⲉ
345	doc	orig_group	ⲡⲙⲁ
346	doc	orig_group	ⲛϭⲁⲙⲟⲩⲗ
347	doc	orig_group	ⲉϥϭⲱⲡⲉ
348	doc	orig_group	ⲙⲱϥ
349	doc	orig_group	ⲉⲣⲱⲓ
350	doc	orig_group	ⲟⲩϫⲁⲓ
351	doc	orig_group	ϩⲙⲡϫⲟⲉⲓⲥ
352	doc	orig_group	ⲧⲁⲁⲥ
353	doc	orig_group	ⲡⲁⲙⲉⲣⲓⲧ
354	doc	orig_group	ⲛⲥⲟⲛ
355	doc	orig_group	ⲭⲁⲏⲗ
356	doc	orig_group	ⲓⲱⲁⲛⲛⲏⲥ
357	doc	orig_group	ϩⲓⲧⲛⲍⲁⲗⲉϩ
358	doc	pb	r
359	doc	pb	v
360	doc	pos	PREP
361	doc	pos	ART
362	doc	pos	N
363	doc	pos	PREP
364	doc	pos	ART
365	doc	pos	N
366	doc	pos	PREP
367	doc	pos	N
368	doc	pos	PPERI
369	doc	pos	COP
370	doc	pos	NPROP
371	doc	pos	CFOC
372	doc	pos	PPERS
373	doc	pos	V
374	doc	pos	CFOC
375	doc	pos	PPERS
376	doc	pos	V
377	doc	pos	PPOS
378	doc	pos	N
379	doc	pos	PREP
380	doc	pos	N
381	doc	pos	NPROP
382	doc	pos	NPROP
383	doc	pos	PREP
384	doc	pos	ART
385	doc	pos	N
386	doc	pos	PPOS
387	doc	pos	N
388	doc	pos	IMOD
389	doc	pos	PPERO
390	doc	pos	ART
391	doc	pos	NUM
392	doc	pos	ART
393	doc	pos	NUM
394	doc	pos	PREP
395	doc	pos	PPOS
396	doc	pos	N
397	doc	pos	PREP
398	doc	pos	PDEM
399	doc	pos	VIMP
400	doc	pos	ART
401	doc	pos	N
402	doc	pos	ART
403	doc	pos	CREL
404	doc	pos	VBD
405	doc	pos	PPERS
406	doc	pos	V
407	doc	pos	N
408	doc	pos	NUM
409	doc	pos	PREP
410	doc	pos	NPROP
411	doc	pos	ART
412	doc	pos	NPROP
413	doc	pos	PREP
414	doc	pos	N
415	doc	pos	NPROP
416	doc	pos	V
417	doc	pos	PPERO
418	doc	pos	NPROP
419	doc	pos	ART
420	doc	pos	N
421	doc	pos	PREP
422	doc	pos	N
423	doc	pos	CCIRC
424	doc	pos	PPERS
425	doc	pos	V
426	doc	pos	PREP
427	doc	pos	PPERO
428	doc	pos	PREP
429	doc	pos	PPERO
430	doc	pos	V
431	doc	pos	PREP
432	doc	pos	ART
433	doc	pos	N
434	doc	pos	V
435	doc	pos	PPERO
436	doc	pos	PPOS
437	doc	pos	N
438	doc	pos	PREP
439	doc	pos	N
