64	0	1	token	tok_56	202	203	55	NULL	NULL	NULL	true	ⲛ
65	0	1	token	tok_57	204	207	56	NULL	NULL	NULL	true	ⲁⲡⲁ
66	0	1	token	tok_58	208	213	57	NULL	NULL	NULL	true	ⲓⲟⲩⲗⲉ
67	0	1	token	tok_59	214	217	58	NULL	NULL	NULL	true	ⲧⲁⲁ
68	0	1	token	tok_60	218	219	59	NULL	NULL	NULL	true	ϥ
69	0	1	token	tok_61	220	227	60	NULL	NULL	NULL	true	ϣⲉⲛⲟⲩⲧⲉ
70	0	1	doc	lb_n_52	188	227	NULL	NULL	NULL	NULL	true	NULL
71	0	1	token	tok_62	228	229	61	NULL	NULL	NULL	true	ⲡ
72	0	1	token	tok_63	230	232	62	NULL	NULL	NULL	true	ⲙⲁ
73	0	1	token	tok_64	233	234	63	NULL	NULL	NULL	true	ⲛ
74	0	1	token	tok_65	235	241	64	NULL	NULL	NULL	true	ϭⲁⲙⲟⲩⲗ
75	0	1	token	tok_66	242	243	65	NULL	NULL	NULL	true	ⲉ
76	0	1	token	tok_67	244	245	66	NULL	NULL	NULL	true	ϥ
77	0	1	token	tok_68	246	250	67	NULL	NULL	NULL	true	ϭⲱⲡⲉ
78	0	1	token	tok_69	251	253	68	NULL	NULL	NULL	true	ⲙⲱ
79	0	1	token	tok_70	254	255	69	NULL	NULL	NULL	true	ϥ
80	0	1	token	tok_71	256	259	70	NULL	NULL	NULL	true	ⲉⲣⲱ
81	0	1	token	tok_72	260	261	71	NULL	NULL	NULL	true	ⲓ
82	0	1	token	tok_73	262	267	72	NULL	NULL	NULL	true	ⲟⲩϫⲁⲓ
83	0	1	token	tok_74	268	270	73	NULL	NULL	NULL	true	ϩⲙ
84	0	1	token	tok_75	271	272	74	NULL	NULL	NULL	true	ⲡ
85	0	1	token	tok_76	273	278	75	NULL	NULL	NULL	true	ϫⲟⲉⲓⲥ
86	0	1	doc	lb_n_62	228	278	NULL	NULL	NULL	NULL	true	NULL
87	0	1	token	tok_77	279	282	76	NULL	NULL	NULL	true	ⲧⲁⲁ
88	0	1	token	tok_78	283	284	77	NULL	NULL	NULL	true	ⲥ
89	0	1	token	tok_79	285	287	78	NULL	NULL	NULL	true	ⲡⲁ
90	0	1	token	tok_80	288	293	79	NULL	NULL	NULL	true	ⲙⲉⲣⲓⲧ
91	0	1	token	tok_81	294	295	80	NULL	NULL	NULL	true	ⲛ
92	0	1	token	tok_82	296	299	81	NULL	NULL	NULL	true	ⲥⲟⲛ
93	0	1	token	tok_83	300	301	82	NULL	NULL	NULL	true	ⲭ
94	0	1	token	tok_85	303	306	84	NULL	NULL	NULL	true	ⲁⲏⲗ
95	0	1	token	tok_86	307	314	85	NULL	NULL	NULL	true	ⲓⲱⲁⲛⲛⲏⲥ
96	0	1	token	tok_87	315	319	86	NULL	NULL	NULL	true	ϩⲓⲧⲛ
97	0	1	token	tok_88	320	325	87	NULL	NULL	NULL	true	ⲍⲁⲗⲉϩ
98	0	1	doc	lb_n_77	279	325	NULL	NULL	NULL	NULL	true	NULL
99	0	1	doc	norm_1	0	2	NULL	norm	0	0	true	NULL
100	0	1	doc	norm_2	3	4	NULL	norm	1	1	true	NULL
101	0	1	doc	norm_3	5	8	NULL	norm	2	2	true	NULL
