0	shenoute.eagerness	CORPUS	NULL	0	7
1	GL29	DOCUMENT	NULL	1	2
2	GL29-30_par_XJ33-34	DOCUMENT	NULL	3	4
3	XJ33-34	DOCUMENT	NULL	5	6
