norm="ⲧⲟⲡⲟⲥ"	search for the normalized word ⲧⲟⲡⲟⲥ
morph="ⲣⲉϥ"	search for words containing the morpheme ⲣⲉϥ
pos="FM"	search for words tagged as foreign material
pos="CONJ" . pos="CONJ"	search for a sequence of two conjunctions
