1	abraham	add_place	right
867	abraham	norm	·
868	abraham	norm	ⲉⲓⲧⲉ
869	abraham	norm	ϩⲟⲟⲩⲧ
870	abraham	norm	·
871	abraham	norm	ⲉⲓⲧⲉ
872	abraham	norm	ⲥϩⲓⲙⲉ
873	abraham	norm	ϩⲣⲁⲓ
874	abraham	norm	ϩⲛ
875	abraham	norm	ⲉ
876	abraham	norm	ⲩ
877	abraham	norm	ⲥⲩⲛⲁⲅⲱⲅⲏ
878	abraham	norm	ⲛⲓⲙ
879	abraham	norm	ⲉⲧ
880	abraham	norm	ϣⲟⲟⲡ
881	abraham	norm	ⲕⲁⲧⲁ
882	abraham	norm	ⲡⲉ
883	abraham	norm	ⲛ
884	abraham	norm	ⲃⲓⲟⲥ
885	abraham	norm	ⲡⲁⲓ
886	abraham	norm	·
887	abraham	norm	ⲙⲛ
888	abraham	norm	ⲟⲩⲟⲛ
889	abraham	norm	ⲛⲓⲙ
890	abraham	norm	ⲉⲧ
891	abraham	norm	ⲉⲓⲣⲉ
892	abraham	norm	ⲛ
893	abraham	norm	ϩⲉⲛ
894	abraham	norm	ⲕⲣⲟϥ
895	abraham	norm	·
896	abraham	norm	ⲙ
897	abraham	norm	ⲙⲁⲁ
898	abraham	norm	ⲩ
899	abraham	norm	ⲛⲓⲙ
900	abraham	norm	ⲙ
901	abraham	norm	ⲡⲉ
902	abraham	norm	ⲙⲧⲟ
903	abraham	norm	ⲉⲃⲟⲗ
904	abraham	norm	ⲙ
905	abraham	norm	ⲡⲛⲟⲩⲧⲉ
906	abraham	norm	ϩⲛ
907	abraham	norm	ⲟⲩ
908	abraham	norm	ϩⲱⲡ
909	abraham	norm	·
910	abraham	norm	ⲏ
911	abraham	norm	ϩⲛ
912	abraham	norm	ⲟⲩ
913	abraham	norm	ⲟⲩⲱⲛϩ
914	abraham	norm	ⲉⲃⲟⲗ
915	abraham	norm	:
916	abraham	norm	ⲉϣⲱⲡⲉ
917	abraham	norm	ⲉ
918	abraham	norm	ⲧⲉⲧⲛ
919	abraham	norm	ϣⲁ
920	abraham	norm	ⲛ
921	abraham	norm	ⲧⲙ
922	abraham	norm	ⲛⲁⲩ
923	abraham	norm	ⲉⲣⲱ
924	abraham	norm	ⲧⲛ
925	abraham	norm	ⲙⲙⲓⲛⲙⲙⲱ
926	abraham	norm	ⲧⲛ
927	abraham	norm	ⲉ
928	abraham	norm	ⲧⲉⲧⲛ
929	abraham	norm	ⲟ
930	abraham	norm	ⲛ
931	abraham	norm	ⲧ
932	abraham	norm	ϩⲉ
933	abraham	norm	ⲙ
934	abraham	norm	ⲡ
935	abraham	norm	ⲥⲁⲧⲁⲛⲁⲥ
936	abraham	norm	ϩⲣⲁⲓ
937	abraham	norm	ϩⲛ
938	abraham	norm	ⲧⲉ
939	abraham	norm	ϩⲣⲱ
940	abraham	norm	ⲛ
941	abraham	norm	ⲕⲱϩⲧ
942	abraham	norm	ⲉⲧ
943	abraham	norm	ⲙⲟⲩϩ
944	abraham	norm	·
945	abraham	norm	ⲉ
946	abraham	norm	ⲩ
947	abraham	norm	ⲕⲟⲗⲁⲍⲉ
948	abraham	norm	ⲙⲙⲱ
949	abraham	norm	ⲧⲛ
950	abraham	norm	ϩⲓ
951	abraham	norm	ⲟⲩ
952	abraham	norm	ⲥⲟⲡ
953	abraham	norm	ϩⲣⲁⲓ
954	abraham	norm	ϩⲛ
955	abraham	norm	ⲁⲙⲛⲧⲉ
956	abraham	norm	·
957	abraham	norm	ⲉⲓⲉ
958	abraham	norm	ⲛⲉⲧⲛ
959	abraham	norm	ϩⲃⲏⲩⲉ
960	abraham	norm	ⲧⲏⲣ
961	abraham	norm	ⲟⲩ
962	abraham	norm	ⲁⲩⲱ
963	abraham	norm	ⲛⲉⲧⲛ
964	abraham	norm	ϣⲟϫⲛⲉ
965	abraham	norm	ⲧⲏⲣ
966	abraham	norm	ⲟⲩ
967	abraham	norm	ϩⲉⲛ
968	abraham	norm	ⲙⲉ
969	abraham	norm	ⲛⲉ
970	abraham	norm	·
971	abraham	norm	ⲛ
972	abraham	norm	ϣⲁϫⲉ
973	abraham	norm	ⲙ
974	abraham	norm	ⲡⲁⲓ
975	abraham	norm	ⲉⲧ
976	abraham	norm	ϫⲱ
977	abraham	norm	ⲛ
978	abraham	norm	ⲛⲁⲓ
979	abraham	norm	ϩⲉⲛ
980	abraham	norm	ϭⲟⲗ
981	abraham	norm	ⲛⲉ
982	abraham	norm	:
983	abraham	norm	ⲧⲟⲩ
984	abraham	norm	ⲁⲩⲧⲟⲩ
985	abraham	norm	:
986	abraham	norm	ⲉⲧⲃⲉ
987	abraham	norm	ⲡⲁⲓ
988	abraham	norm	ⲙⲡⲣ
989	abraham	norm	ⲧⲣⲉ
990	abraham	norm	ⲛ
