0	shenoute.abraham.our.father	CORPUS	NULL	0	15
1	Abraham.XL93-94	DOCUMENT	NULL	1	2
2	Abraham.YA518-520	DOCUMENT	NULL	3	4
3	Abraham.YA525-530	DOCUMENT	NULL	5	6
4	Abraham.YA535-40	DOCUMENT	NULL	7	8
5	Abraham.YA547-50	DOCUMENT	NULL	9	10
6	Abraham.YA551-54	DOCUMENT	NULL	11	12
7	Abraham.ZHfrgmts1a_d	DOCUMENT	NULL	13	14
