norm="ⲁⲛⲟⲕ"	search for the unit "ⲁⲛⲟⲕ"
norm="ⲥⲟⲫⲓⲁ"	search for the normalized unit "ⲥⲟⲫⲓⲁ"
norm_group=/.*ⲙⲩⲥⲧⲏⲣⲓⲟⲛ.*/	search for bound groups containing "ⲙⲩⲥⲧⲏⲣⲓⲟⲛ" (regular expression)
lang="Greek"	search for automatically detected Greek lexemes
norm="ⲙⲉⲛ" & norm="ⲇⲉ" & #1 .* #2	search for "ⲙⲉⲛ" indirectly followed by "ⲇⲉ"
pos="PPERI" & pos="COP" & #1 . #2	search for independent pronouns followed by a copula
translation=/.*brother.*/ & meta::cname=/.*Corinthians.*/	search Corinthians for verse translations containing "brother" (regular expression)
