0	NULL	annotation	Caroline Schroeder, Amir Zeldes
22	NULL	document_cts_urn	urn:cts:copticLit:nt.1john.sahidica:4
22	NULL	metadata	Caroline T. Schroeder
22	NULL	version_date	16 April 2015
22	NULL	version_n	1.0.1
23	NULL	book	1 John
23	NULL	chapter	5
23	NULL	cid	62N 5
23	NULL	cname	1 John 5
23	NULL	document_cts_urn	urn:cts:copticLit:nt.1john.sahidica:5
23	NULL	metadata	Caroline T. Schroeder
23	NULL	version_date	16 April 2015
23	NULL	version_n	1.0.1
25	NULL	book	1 Peter
25	NULL	chapter	1
25	NULL	cid	60N 1
25	NULL	cname	1 Peter 1
25	NULL	document_cts_urn	urn:cts:copticLit:nt.1pet.sahidica:1
25	NULL	metadata	Caroline T. Schroeder
25	NULL	version_date	16 April 2015
25	NULL	version_n	1.0.1
26	NULL	book	1 Peter
26	NULL	chapter	2
26	NULL	cid	60N 2
26	NULL	cname	1 Peter 2
26	NULL	document_cts_urn	urn:cts:copticLit:nt.1pet.sahidica:2
26	NULL	metadata	Caroline T. Schroeder
26	NULL	version_date	16 April 2015
26	NULL	version_n	1.0.1
27	NULL	book	1 Peter
27	NULL	chapter	3
27	NULL	cid	60N 3
27	NULL	cname	1 Peter 3
27	NULL	document_cts_urn	urn:cts:copticLit:nt.1pet.sahidica:3
27	NULL	metadata	Caroline T. Schroeder
27	NULL	version_date	16 April 2015
27	NULL	version_n	1.0.1
28	NULL	book	1 Peter
28	NULL	chapter	4
28	NULL	cid	60N 4
28	NULL	cname	1 Peter 4
28	NULL	document_cts_urn	urn:cts:copticLit:nt.1pet.sahidica:4
28	NULL	metadata	Caroline T. Schroeder
28	NULL	version_date	16 April 2015
28	NULL	version_n	1.0.1
29	NULL	book	1 Peter
29	NULL	chapter	5
29	NULL	cid	60N 5
29	NULL	cname	1 Peter 5
29	NULL	document_cts_urn	urn:cts:copticLit:nt.1pet.sahidica:5
29	NULL	metadata	Caroline T. Schroeder
29	NULL	version_date	16 April 2015
29	NULL	version_n	1.0.1
31	NULL	book	1 Thessalonians
31	NULL	chapter	1
31	NULL	cid	52N 1
31	NULL	cname	1 Thessalonians 1
31	NULL	document_cts_urn	urn:cts:copticLit:nt.1thess.sahidica:1
31	NULL	metadata	Caroline T. Schroeder
31	NULL	version_date	16 April 2015
31	NULL	version_n	1.0.1
32	NULL	book	1 Thessalonians
32	NULL	chapter	2
32	NULL	cid	52N 2
32	NULL	cname	1 Thessalonians 2
32	NULL	document_cts_urn	urn:cts:copticLit:nt.1thess.sahidica:2
32	NULL	metadata	Caroline T. Schroeder
32	NULL	version_date	16 April 2015
32	NULL	version_n	1.0.1
33	NULL	book	1 Thessalonians
33	NULL	chapter	3
33	NULL	cid	52N 3
33	NULL	cname	1 Thessalonians 3
33	NULL	document_cts_urn	urn:cts:copticLit:nt.1thess.sahidica:3
33	NULL	metadata	Caroline T. Schroeder
33	NULL	version_date	16 April 2015
33	NULL	version_n	1.0.1
34	NULL	book	1 Thessalonians
34	NULL	chapter	4
34	NULL	cid	52N 4
34	NULL	cname	1 Thessalonians 4
34	NULL	document_cts_urn	urn:cts:copticLit:nt.1thess.sahidica:4
34	NULL	metadata	Caroline T. Schroeder
34	NULL	version_date	16 April 2015
34	NULL	version_n	1.0.1
35	NULL	book	1 Thessalonians
35	NULL	chapter	5
35	NULL	cid	52N 5
35	NULL	cname	1 Thessalonians 5
35	NULL	document_cts_urn	urn:cts:copticLit:nt.1thess.sahidica:5
35	NULL	metadata	Caroline T. Schroeder
35	NULL	version_date	16 April 2015
35	NULL	version_n	1.0.1
37	NULL	book	1 Timothy
37	NULL	chapter	1
37	NULL	cid	54N 1
37	NULL	cname	1 Timothy 1
37	NULL	document_cts_urn	urn:cts:copticLit:nt.1tim.sahidica:1
37	NULL	metadata	Caroline T. Schroeder
37	NULL	version_date	16 April 2015
37	NULL	version_n	1.0.1
38	NULL	book	1 Timothy
38	NULL	chapter	2
38	NULL	cid	54N 2
38	NULL	cname	1 Timothy 2
38	NULL	document_cts_urn	urn:cts:copticLit:nt.1tim.sahidica:2
38	NULL	metadata	Caroline T. Schroeder
38	NULL	version_date	16 April 2015
38	NULL	version_n	1.0.1
39	NULL	book	1 Timothy
39	NULL	chapter	3
39	NULL	cid	54N 3
39	NULL	cname	1 Timothy 3
39	NULL	document_cts_urn	urn:cts:copticLit:nt.1tim.sahidica:3
39	NULL	metadata	Caroline T. Schroeder
39	NULL	version_date	16 April 2015
39	NULL	version_n	1.0.1
40	NULL	book	1 Timothy
40	NULL	chapter	4
40	NULL	cid	54N 4
40	NULL	cname	1 Timothy 4
40	NULL	document_cts_urn	urn:cts:copticLit:nt.1tim.sahidica:4
40	NULL	metadata	Caroline T. Schroeder
40	NULL	version_date	16 April 2015
40	NULL	version_n	1.0.1
41	NULL	book	1 Timothy
41	NULL	chapter	5
41	NULL	cid	54N 5
41	NULL	cname	1 Timothy 5
41	NULL	document_cts_urn	urn:cts:copticLit:nt.1tim.sahidica:5
41	NULL	metadata	Caroline T. Schroeder
41	NULL	version_date	16 April 2015
41	NULL	version_n	1.0.1
42	NULL	book	1 Timothy
42	NULL	chapter	6
42	NULL	cid	54N 6
42	NULL	cname	1 Timothy 6
42	NULL	document_cts_urn	urn:cts:copticLit:nt.1tim.sahidica:6
42	NULL	metadata	Caroline T. Schroeder
42	NULL	version_date	16 April 2015
42	NULL	version_n	1.0.1
44	NULL	book	2  Corinthians
44	NULL	chapter	1
44	NULL	cid	47N 1
44	NULL	cname	2 Corinthians 1
44	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:1
44	NULL	metadata	Caroline T. Schroeder
44	NULL	version_date	16 April 2015
44	NULL	version_n	1.0.1
45	NULL	book	2  Corinthians
45	NULL	chapter	10
45	NULL	cid	47N 10
45	NULL	cname	2 Corinthians 10
45	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:10
45	NULL	metadata	Caroline T. Schroeder
45	NULL	version_date	16 April 2015
45	NULL	version_n	1.0.1
46	NULL	book	2  Corinthians
46	NULL	chapter	11
46	NULL	cid	47N 11
46	NULL	cname	2 Corinthians 11
46	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:11
46	NULL	metadata	Caroline T. Schroeder
46	NULL	version_date	16 April 2015
46	NULL	version_n	1.0.1
47	NULL	book	2  Corinthians
47	NULL	chapter	12
47	NULL	cid	47N 12
47	NULL	cname	2 Corinthians 12
47	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:12
47	NULL	metadata	Caroline T. Schroeder
47	NULL	version_date	16 April 2015
47	NULL	version_n	1.0.1
48	NULL	book	2  Corinthians
48	NULL	chapter	13
48	NULL	cid	47N 13
48	NULL	cname	2 Corinthians 13
48	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:13
48	NULL	metadata	Caroline T. Schroeder
48	NULL	version_date	16 April 2015
48	NULL	version_n	1.0.1
49	NULL	book	2  Corinthians
49	NULL	chapter	2
49	NULL	cid	47N 2
49	NULL	cname	2 Corinthians 2
49	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:2
49	NULL	metadata	Caroline T. Schroeder
49	NULL	version_date	16 April 2015
49	NULL	version_n	1.0.1
50	NULL	book	2  Corinthians
50	NULL	chapter	3
50	NULL	cid	47N 3
50	NULL	cname	2 Corinthians 3
50	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:3
50	NULL	metadata	Caroline T. Schroeder
50	NULL	version_date	16 April 2015
50	NULL	version_n	1.0.1
51	NULL	book	2  Corinthians
51	NULL	chapter	4
51	NULL	cid	47N 4
51	NULL	cname	2 Corinthians 4
51	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:4
51	NULL	metadata	Caroline T. Schroeder
51	NULL	version_date	16 April 2015
51	NULL	version_n	1.0.1
52	NULL	book	2  Corinthians
52	NULL	chapter	5
52	NULL	cid	47N 5
52	NULL	cname	2 Corinthians 5
52	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:5
52	NULL	metadata	Caroline T. Schroeder
52	NULL	version_date	16 April 2015
52	NULL	version_n	1.0.1
53	NULL	book	2  Corinthians
53	NULL	chapter	6
53	NULL	cid	47N 6
53	NULL	cname	2 Corinthians 6
53	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:6
53	NULL	metadata	Caroline T. Schroeder
53	NULL	version_date	16 April 2015
53	NULL	version_n	1.0.1
54	NULL	book	2  Corinthians
54	NULL	chapter	7
54	NULL	cid	47N 7
54	NULL	cname	2 Corinthians 7
54	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:7
54	NULL	metadata	Caroline T. Schroeder
54	NULL	version_date	16 April 2015
54	NULL	version_n	1.0.1
55	NULL	book	2  Corinthians
55	NULL	chapter	8
55	NULL	cid	47N 8
55	NULL	cname	2 Corinthians 8
55	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:8
55	NULL	metadata	Caroline T. Schroeder
55	NULL	version_date	16 April 2015
55	NULL	version_n	1.0.1
56	NULL	book	2  Corinthians
56	NULL	chapter	9
56	NULL	cid	47N 9
56	NULL	cname	2 Corinthians 9
56	NULL	document_cts_urn	urn:cts:copticLit:nt.2cor.sahidica:9
56	NULL	metadata	Caroline T. Schroeder
56	NULL	version_date	16 April 2015
56	NULL	version_n	1.0.1
58	NULL	book	2  John
58	NULL	chapter	1
58	NULL	cid	63N 1
58	NULL	cname	2 John 1
58	NULL	document_cts_urn	urn:cts:copticLit:nt.2john.sahidica:1
58	NULL	metadata	Caroline T. Schroeder
58	NULL	version_date	16 April 2015
58	NULL	version_n	1.0.1
60	NULL	book	2  Peter
60	NULL	chapter	1
60	NULL	cid	61N 1
60	NULL	cname	2 Peter 1
60	NULL	document_cts_urn	urn:cts:copticLit:nt.2pet.sahidica:1
60	NULL	metadata	Caroline T. Schroeder
60	NULL	version_date	16 April 2015
60	NULL	version_n	1.0.1
61	NULL	book	2  Peter
61	NULL	chapter	2
61	NULL	cid	61N 2
61	NULL	cname	2 Peter 2
61	NULL	document_cts_urn	urn:cts:copticLit:nt.2pet.sahidica:2
61	NULL	metadata	Caroline T. Schroeder
61	NULL	version_date	16 April 2015
61	NULL	version_n	1.0.1
62	NULL	book	2  Peter
62	NULL	chapter	3
62	NULL	cid	61N 3
62	NULL	cname	2 Peter 3
62	NULL	document_cts_urn	urn:cts:copticLit:nt.2pet.sahidica:3
62	NULL	metadata	Caroline T. Schroeder
62	NULL	version_date	16 April 2015
62	NULL	version_n	1.0.1
64	NULL	book	2  Thessalonians
64	NULL	chapter	1
64	NULL	cid	53N 1
64	NULL	cname	2 Thessalonians 1
64	NULL	document_cts_urn	urn:cts:copticLit:nt.2thess.sahidica:1
64	NULL	metadata	Caroline T. Schroeder
64	NULL	version_date	16 April 2015
64	NULL	version_n	1.0.1
65	NULL	book	2  Thessalonians
65	NULL	chapter	2
65	NULL	cid	53N 2
65	NULL	cname	2 Thessalonians 2
65	NULL	document_cts_urn	urn:cts:copticLit:nt.2thess.sahidica:2
65	NULL	metadata	Caroline T. Schroeder
65	NULL	version_date	16 April 2015
65	NULL	version_n	1.0.1
66	NULL	book	2  Thessalonians
66	NULL	chapter	3
66	NULL	cid	53N 3
66	NULL	cname	2 Thessalonians 3
66	NULL	document_cts_urn	urn:cts:copticLit:nt.2thess.sahidica:3
66	NULL	metadata	Caroline T. Schroeder
66	NULL	version_date	16 April 2015
66	NULL	version_n	1.0.1
68	NULL	book	2  Timothy
68	NULL	chapter	1
68	NULL	cid	55N 1
68	NULL	cname	2 Timothy 1
68	NULL	document_cts_urn	urn:cts:copticLit:nt.2tim.sahidica:1
68	NULL	metadata	Caroline T. Schroeder
68	NULL	version_date	16 April 2015
68	NULL	version_n	1.0.1
69	NULL	book	2  Timothy
69	NULL	chapter	2
69	NULL	cid	55N 2
69	NULL	cname	2 Timothy 2
69	NULL	document_cts_urn	urn:cts:copticLit:nt.2tim.sahidica:2
69	NULL	metadata	Caroline T. Schroeder
69	NULL	version_date	16 April 2015
69	NULL	version_n	1.0.1
70	NULL	book	2  Timothy
70	NULL	chapter	3
70	NULL	cid	55N 3
70	NULL	cname	2 Timothy 3
70	NULL	document_cts_urn	urn:cts:copticLit:nt.2tim.sahidica:3
70	NULL	metadata	Caroline T. Schroeder
70	NULL	version_date	16 April 2015
70	NULL	version_n	1.0.1
71	NULL	book	2  Timothy
71	NULL	chapter	4
71	NULL	cid	55N 4
71	NULL	cname	2 Timothy 4
71	NULL	document_cts_urn	urn:cts:copticLit:nt.2tim.sahidica:4
71	NULL	metadata	Caroline T. Schroeder
71	NULL	version_date	16 April 2015
71	NULL	version_n	1.0.1
73	NULL	book	3  John
73	NULL	chapter	1
73	NULL	cid	64N 1
73	NULL	cname	3 John 1
73	NULL	document_cts_urn	urn:cts:copticLit:nt.3john.sahidica:1
73	NULL	metadata	Caroline T. Schroeder
